index,month,movie_theater,popcorn,soft_drink,sweets,water
0,01,9,1,1,0,0
1,05,6,2,2,0,0
2,01,9,5,4,4,1
3,02,6,1,1,0,0
4,06,2,3,3,3,0
5,12,9,4,3,3,1
6,03,5,4,4,3,0
7,10,4,5,4,4,1
8,10,5,4,4,4,0
9,06,6,2,2,0,0
10,02,4,1,0,0,1
11,07,8,3,1,0,2
12,06,2,1,1,0,0
13,03,2,1,1,0,0
14,02,4,3,3,3,0
15,02,6,2,2,0,0
16,01,9,2,0,0,2
17,09,6,1,1,0,0
18,07,6,1,1,0,0
19,02,6,2,2,1,0
20,03,7,3,3,3,0
21,02,2,5,0,0,5
22,04,7,5,5,5,0
23,02,6,5,5,5,0
24,04,4,1,1,0,0
25,09,9,2,1,0,1
26,05,1,1,1,0,0
27,01,3,2,0,0,2
28,05,7,3,2,2,1
29,12,1,1,1,0,0
30,03,6,2,2,0,0
31,04,6,1,1,0,0
32,11,6,2,2,0,0
33,09,3,1,1,0,0
34,12,2,3,3,0,0
35,04,6,2,2,1,0
36,07,7,2,2,2,0
37,04,7,4,4,4,0
38,05,2,1,1,0,0
39,02,9,5,5,5,0
40,12,1,2,0,0,2
41,05,8,2,0,0,2
42,11,6,1,1,1,0
43,08,2,2,2,0,0
44,04,1,2,0,0,2
45,08,4,3,2,2,1
46,06,7,4,4,3,0
47,03,2,1,1,0,0
48,10,4,4,4,3,0
49,11,7,3,2,2,1
50,01,2,1,1,1,0
51,09,4,1,1,0,0
52,11,1,3,0,0,3
53,08,5,3,0,0,3
54,09,6,1,1,0,0
55,06,6,1,1,0,0
56,04,3,1,0,0,1
57,10,2,2,2,0,0
58,04,1,2,1,0,1
59,12,2,5,5,2,0
60,06,3,1,1,0,0
61,10,7,4,4,4,0
62,04,6,2,0,0,2
63,06,9,3,3,3,0
64,09,5,3,1,0,2
65,11,6,1,1,0,0
66,02,6,4,4,3,0
67,01,9,5,5,5,0
68,02,1,3,0,0,3
69,02,6,5,5,0,0
70,03,6,1,0,0,1
71,10,2,1,1,0,0
72,05,8,2,0,0,2
73,01,3,1,0,0,1
74,05,2,5,2,0,3
75,04,8,3,0,0,3
76,11,7,5,5,5,0
77,09,4,2,0,0,2
78,09,2,1,1,0,0
79,03,4,1,1,1,0
80,02,6,2,2,1,0
81,02,7,4,4,4,0
82,04,5,1,0,0,1
83,01,1,1,1,1,0
84,06,3,1,0,0,1
85,03,8,2,1,1,1
86,09,5,3,2,1,1
87,09,7,5,5,5,0
88,09,9,4,4,4,0
89,06,5,2,2,0,0
90,12,2,1,1,0,0
91,10,5,1,0,0,1
92,11,3,2,1,0,1
93,01,7,3,3,3,0
94,09,2,1,1,0,0
95,12,9,2,2,2,0
96,10,5,1,0,0,1
97,08,7,2,0,0,2
98,07,3,4,0,0,4
99,01,7,4,3,1,1
100,07,1,4,0,0,4
101,01,8,1,0,0,1
102,07,7,5,4,3,1
103,08,5,1,0,0,1
104,05,6,2,2,0,0
105,03,4,1,1,1,0
106,01,2,2,2,1,0
107,11,6,1,1,0,0
108,09,4,1,0,0,1
109,04,6,1,0,0,1
110,03,2,1,1,0,0
111,08,7,3,2,1,1
112,02,9,3,3,3,0
113,07,5,2,0,0,2
114,07,4,2,1,0,1
115,06,6,1,1,1,0
116,08,4,3,0,0,3
117,12,1,2,2,0,0
118,11,7,4,3,3,1
